,price,highlights,address,area,num_rooms,floor,rent,online_property_inspection,ownership_status,flat_condition,perks,parking,heating,flat_description_bullets,neighborhood_bullets
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-chojnow-ul-mikolaja-reja-ID4l0H5,250 000 zł,"Mieszkanie 3 pokojowe, Chojnów, ul. Mikołaja Reja","Chojnów, legnicki, dolnośląskie",76 m²,3,1/2,343 zł,Zapytaj,pełna własność,do zamieszkania,Zapytaj,garaż/miejsce parkingowe,gazowe,[],The info was not provided
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-w-klodzku-ul-spoldzielcza-ID4n4hE,439 000 zł,Trzypokojowe mieszkanie w Kłodzku ul. Spółdzielcza,"Kłodzko, kłodzki, dolnośląskie","60,11 m²",3,parter/10,Zapytaj,Zapytaj,Zapytaj,do zamieszkania,balkon,Zapytaj,miejskie,[],The info was not provided
https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-03-07-ID4mHsX,448 495 zł,Gotowe - Mieszkanie 03.07,"ul. Stanisława Wyspiańskiego, Żarów, Żarów, świdnicki, dolnośląskie","64,08 m²",3,3/6,Zapytaj,Zapytaj,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,kotłownia,[],The info was not provided
https://www.otodom.pl/pl/oferta/4-pokoje-z-balkonem-przy-parku-ID4at2X,834 150 zł,4 pokoje z balkonem przy Parku!,"Żerniki, Fabryczna, Wrocław, dolnośląskie",67 m²,4,1/4,600 zł,Zapytaj,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,miejskie,[],The info was not provided
https://www.otodom.pl/pl/oferta/goraca-oferta-ostatnie-apartamenty-ID4aq7Q,768 000 zł,Gorąca oferta - ostatnie apartamenty!,"ul. Zakopiańska, Świeradów-Zdrój, lubański, dolnośląskie",48 m²,3,parter/5,Zapytaj,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/goraca-oferta-ostatnie-apartamenty-ID4aq7R,608 000 zł,Gorąca oferta - ostatnie apartamenty!,"ul. Zakopiańska, Świeradów-Zdrój, lubański, dolnośląskie",38 m²,2,5/5,Zapytaj,Zapytaj,pełna własność,do zamieszkania,taras,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/borek-klimatyczne-mieszkanie-ID4a0wW,850 000 zł,Borek klimatyczne mieszkanie!,"Tarnogaj, Krzyki, Wrocław, dolnośląskie",85 m²,3,parter/4,420 zł,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,gazowe,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-i-pietro-ID49RVG,329 000 zł,Apartamenty KASZTANÓWKA I piętro,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","47,11 m²",3,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-ii-pietro-ID49RTI,249 000 zł,Apartamenty KASZTANÓWKA II piętro,"ul. Rzeczypospolitej, Rydzyna, Rydzyna, leszczyński, wielkopolskie","35,62 m²",2,2/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-i-pietro-ID49RSi,333 900 zł,Apartamenty KASZTANÓWKA I piętro,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","47,99 m²",3,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-i-pietro-ID49RRo,271 900 zł,Apartamenty KASZTANÓWKA I piętro,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","38,99 m²",2,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-i-pietro-ID49RRf,249 900 zł,Apartamenty KASZTANÓWKA I piętro,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","35,73 m²",2,1/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-parter-z-ogrodkiem-ID49RGZ,294 900 zł,APARTAMENTY KASZTANÓWKA parter z ogródkiem,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","42,31 m²",3,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,"ogródek, taras",Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-parter-z-ogrodkiem-ID49RAo,409 900 zł,Apartamenty KASZTANÓWKA parter z ogródkiem,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","63,34 m²",3,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,"ogródek, taras",Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-parter-z-ogrodkiem-ID49Rzv,239 900 zł,Apartamenty KASZTANÓWKA parter z ogródkiem,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","34,42 m²",2,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,"ogródek, taras",Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-parter-z-ogrodkiem-ID49Rv5,328 000 zł,Apartamenty KASZTANÓWKA parter z ogródkiem,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","47,1 m²",3,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartamenty-kasztanowka-parter-z-ogrodkiem-ID49RsJ,258 000 zł,Apartamenty KASZTANÓWKA parter z ogródkiem,"ul. Rzeczypospolitej, Kłoda, Rydzyna, leszczyński, wielkopolskie","36,87 m²",2,parter/2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,"ogródek, taras",Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/1-4-km-od-rynku-idealne-dla-rodziny-stare-miasto-ID49Hb4,456 000 zł,"1,4 Km od Rynku Idealne dla Rodziny Stare Miasto","Nadodrze, Śródmieście, Wrocław, dolnośląskie","46,5 m²",3,1/6,Zapytaj,Zapytaj,pełna własność,Zapytaj,Zapytaj,Zapytaj,Zapytaj,[],The info was not provided
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-parter-balkon-piekary-b-ID46kL1,349 000 zł,"Mieszkanie 2-pok, parter,balkon, Piekary B","Legnica, dolnośląskie","45,77 m²",2,parter/3,180 zł,Zapytaj,Zapytaj,do zamieszkania,balkon,Zapytaj,gazowe,[],The info was not provided
https://www.otodom.pl/pl/oferta/apartament-dwupoziomowy-gorny-z-tarasem-83m2-ID467lO,538 070 zł,Apartament dwupoziomowy górny z tarasem - 83m2,"Lubin, lubiński, dolnośląskie","82,78 m²",4,1/2,Zapytaj,Zapytaj,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,gazowe,[],The info was not provided
https://www.otodom.pl/pl/oferta/do-sprzedazy-mieszkanie-orla-bialego-bogatynia-ID48RBv,145 000 zł,Do sprzedaży mieszkanie Orła Białego Bogatynia,"Bogatynia, Bogatynia, zgorzelecki, dolnośląskie","45,9 m²",2,2/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie,[],The info was not provided
https://www.otodom.pl/pl/oferta/3-pokoje-z-tarasem-i-ogrodem-w-centrum-wroclawia-ID48Ak9,751 000 zł,3 Pokoje Z Tarasem I Ogrodem W Centrum Wrocławia,"ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie",60 m²,3,2/17,660 zł,Zapytaj,pełna własność,do wykończenia,taras,garaż/miejsce parkingowe,miejskie,[],The info was not provided
https://www.otodom.pl/pl/oferta/mieszkanie-bielany-wroclawskie-ul-storczykowa-ID48u3L,"279 333,34 zł","Mieszkanie: Bielany Wrocławskie, ul. Storczykowa","ul. Storczykowa, Bielany Wrocławskie, Kobierzyce, wrocławski, dolnośląskie","74,49 m²",2,2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,balkon,Zapytaj,gazowe,[],The info was not provided
https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-w-doskonalej-lokalizacji-ID48n3B,188 000 zł,Przestronne mieszkanie w doskonałej lokalizacji,"Bierutów, Bierutów, oleśnicki, dolnośląskie","138,18 m²",4,2/2,115 zł,Zapytaj,pełna własność,do wykończenia,Zapytaj,garaż/miejsce parkingowe,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/m2-okolica-malej-poczty-ID48krc,370 000 zł,M2 - Okolica Małej Poczty,"Staniszów, Podgórzyn, karkonoski, dolnośląskie","70,4 m²",2,2/2,Zapytaj,Zapytaj,pełna własność,Zapytaj,Zapytaj,Zapytaj,gazowe,[],The info was not provided
https://www.otodom.pl/pl/oferta/mieszkanie-50-74-m-kloda-ID48eMO,330 000 zł,"Mieszkanie, 50,74 m², Kłoda","Kłoda, Rydzyna, leszczyński, wielkopolskie","50,74 m²",3,2/2,Zapytaj,Zapytaj,pełna własność,Zapytaj,balkon,Zapytaj,Zapytaj,[],The info was not provided
https://www.otodom.pl/pl/oferta/mieszkanie-82-30-m-bratkow-ID48evG,235 000 zł,"Mieszkanie, 82,30 m², Bratków","Bratków, Bogatynia, zgorzelecki, dolnośląskie","82,3 m²",4,1,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,[],The info was not provided
https://www.otodom.pl/pl/oferta/mieszkanie-36-96-m-wroclaw-ID47yAk,569 000 zł,"Mieszkanie, 36,96 m², Wrocław","Ołbin, Śródmieście, Wrocław, dolnośląskie","36,96 m²",2,1,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,[],The info was not provided
https://www.otodom.pl/pl/oferta/mieszkanie-w-budynku-wielorodzinnym-ID473ic,130 000 zł,Mieszkanie W Budynku Wielorodzinnym,"Świerzawa, Świerzawa, złotoryjski, dolnośląskie",90 m²,4,1,Zapytaj,tak,pełna własność,do remontu,Zapytaj,Zapytaj,inne,[],The info was not provided
https://www.otodom.pl/pl/oferta/kawalerka-pod-inwestycje-centrum-ID46Xd3,144 900 zł,Kawalerka pod inwestycje - Centrum !,"Głogów, głogowski, dolnośląskie","22,73 m²",1,4/4,315 zł,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,miejskie,[],The info was not provided
https://www.otodom.pl/pl/oferta/2-pokoje-komfortowa-lokalizacja-sienkiewicza-ID46Ail,834 000 zł,"2-pokoje, komfortowa lokalizacja - Sienkiewicza.","ul. Henryka Sienkiewicza, Ołbin, Śródmieście, Wrocław, dolnośląskie","65,97 m²",2,1/4,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,elektryczne,[],The info was not provided
https://www.otodom.pl/pl/oferta/swietoszow-lokal-na-mieszkanie-ID4mWpR,245 000 zł,Świętoszów lokal na mieszkanie,"ul. Świerkowa 10a, Świętoszów, Osiecznica, bolesławiecki, dolnośląskie",230 m²,6,parter/1,100 zł,tak,pełna własność,do remontu,ogródek,garaż/miejsce parkingowe,elektryczne,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-70-m2-chojnow-ID4mGyq,389 000 zł,Mieszkanie 70 m2 Chojnów,"ul. Bolesława Chrobrego, Chojnów, legnicki, dolnośląskie",70 m²,4,3/4,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-na-osiedlu-piast-ID4n0kO,335 000 zł,Mieszkanie na osiedlu Piast,"ul. Władysława Hermana, Lubań, lubański, dolnośląskie",61 m²,3,4/4,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,Zapytaj,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-bielany-wroclawskie-ID4mVMu,600 000 zł,Mieszkanie 3-pok - Bielany Wrocławskie,"ul. Konwaliowa, Bielany Wrocławskie, Kobierzyce, wrocławski, dolnośląskie","48,78 m²",3,2/2,450 zł,Zapytaj,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,gazowe,[],[]
https://www.otodom.pl/pl/oferta/sloneczny-nowy-otok6-b1-mieszkanie-z-ogrodem-ID4hbvZ,474 012 zł,☀️Słoneczny Nowy Otok☀️6/B1 - Mieszkanie z ogrodem,"ul. Wesoła, Oława, oławski, dolnośląskie","56,43 m²",3,parter/1,Zapytaj,Zapytaj,pełna własność,do wykończenia,"ogródek, taras",garaż/miejsce parkingowe,inne,[],[]
https://www.otodom.pl/pl/oferta/bezposrednio-kawalerka-wyposazona-z-sypialnia-balk-ID4n2hs,339 000 zł,Bezpośrednio kawalerka wyposażona z sypialnią balk,"ul. Boiskowa, Bieńkowice, Krzyki, Wrocław, dolnośląskie","24,34 m²",1,2,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,Zapytaj,[],[]
https://www.otodom.pl/pl/oferta/piekny-apartament-z-widokiem-na-park-ogrod-taras-ID4n3mP,1 599 000 zł,"Piękny apartament z widokiem na park, ogród, taras","Żerniki, Fabryczna, Wrocław, dolnośląskie","93,5 m²",3,1/3,700 zł,tak,Zapytaj,Zapytaj,"balkon, ogródek, taras",Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/inwestycyjne-mieszkanie-ul-zelazna-roi-11-3-ID4n3q7,999 000 zł,"Inwestycyjne mieszkanie ul. Żelazna ROI 11,3%","Gajowice, Fabryczna, Wrocław, dolnośląskie","74,66 m²",7,2/5,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-2-pokojowe-ul-slowianska-ID4jPcb,445 000 zł,Przytulne mieszkanie 2-pokojowe ul. Słowiańska,"ul. Słowiańska, Nadodrze, Śródmieście, Wrocław, dolnośląskie","38,41 m²",2,5/6,Zapytaj,Zapytaj,pełna własność,do zamieszkania,Zapytaj,Zapytaj,elektryczne,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-3-p-balkon-loggia-promenady-wroclawskie-ID4n10o,899 000 zł,Mieszkanie 3 p balkon loggia Promenady Wrocławskie,"Promenady Wrocławskie, Kleczków, Psie Pole, Wrocław, dolnośląskie","63,44 m²",3,3/5,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/budynek-mieszkalny-7-mieszkan-z-projektem-na-12-ID4mZdC,599 900 zł,Budynek mieszkalny 7 mieszkan z projektem na 12,"Boguszów, Boguszów-Gorce, wałbrzyski, dolnośląskie",330 m²,więcej niż 10,Zapytaj,200 zł,Zapytaj,Zapytaj,do remontu,Zapytaj,Zapytaj,piece kaflowe,[],[]
https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-w-mrowinach-blisko-zarowa-ID4mQkP,190 000 zł,"Na sprzedaż mieszkanie w Mrowinach, blisko Żarowa","ul. Wojska Polskiego, Mrowiny, Żarów, świdnicki, dolnośląskie","45,45 m²",2,1,250 zł,Zapytaj,pełna własność,do remontu,ogródek,Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-z-osobna-kuchnia-ul-popowicka-ID4mYgv,640 000 zł,"Mieszkanie 3 pok. z osobną kuchnią, ul. Popowicka","ul. Popowicka 122, Popowice Północne, Fabryczna, Wrocław, dolnośląskie","54,1 m²",3,3/4,530 zł,Zapytaj,pełna własność,Zapytaj,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/2pok-50-m-urzadzone-10-min-od-centrum-wroclaw-ID4mYq1,720 000 zł,"2pok. 50 m, urządzone, 10 min od centrum Wrocław","ul. Chorwacka, Różanka, Psie Pole, Wrocław, dolnośląskie",50 m²,2,1/4,520 zł,tak,pełna własność,do zamieszkania,"balkon, taras",Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/3-pok-70-m2-gadow-maly-ID4mQ5v,735 000 zł,"3 pok., 70 m2 Gądów Mały","Gądów, Fabryczna, Wrocław, dolnośląskie","70,2 m²",3,2/10,1 200 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/ovo-taras-widok-top-wykonczenie-spacer-3d-ID4mX2W,3 205 980 zł,"Ovo, taras, widok, top wykończenie- spacer 3D","ul. Podwale, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie","118,77 m²",4,6/6,1 500 zł,Wirtualny spacer,pełna własność,Zapytaj,taras,garaż/miejsce parkingowe,miejskie,[],[]
https://www.otodom.pl/pl/oferta/4pok-dwa-poziomy-114m-fotowoltaika-w-centrum-ID4n6C5,679 000 zł,"4pok, dwa poziomy 114m² + fotowoltaika w centrum!","ul. Lwowska, Oleśnica, oleśnicki, dolnośląskie",114 m²,4,Zapytaj,Zapytaj,Wirtualny spacer,pełna własność,do zamieszkania,Zapytaj,Zapytaj,gazowe,[],[]
https://www.otodom.pl/pl/oferta/pilnie-2-pok-mieszkanie-wroclaw-ID4n6C2,460 000 zł,Pilnie 2 pok mieszkanie Wrocław,"ul. Rogowska, Nowy Dwór, Fabryczna, Wrocław, dolnośląskie",50 m²,2,3/4,Zapytaj,Zapytaj,pełna własność,Zapytaj,balkon,garaż/miejsce parkingowe,Zapytaj,[],[]
https://www.otodom.pl/pl/oferta/nowoczesne-dwupietrowe-mieszkanie-80-m2-ID4mBtA,789 000 zł,Nowoczesne dwupiętrowe mieszkanie - 80 m2,"Siechnice, Siechnice, wrocławski, dolnośląskie",80 m²,4,2/2,Zapytaj,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-45m-gaj-ul-w-rutkiewicz-ID4n3sX,560 000 zł,"Mieszkanie 2 pokoje (45m), Gaj ul. W.Rutkiewicz","ul. Wandy Rutkiewicz, Gaj, Krzyki, Wrocław, dolnośląskie","45,19 m²",2,parter/3,430 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/inwestycyjne-mieszkanie-w-centrum-wroclawia-ID4mWLZ,640 000 zł,Inwestycyjne mieszkanie w centrum Wrocławia,"ul. Ołowiana, Gajowice, Fabryczna, Wrocław, dolnośląskie","66,7 m²",3,4/4,414 zł,Zapytaj,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,Zapytaj,miejskie,[],[]
https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-na-starym-miescie-ID4n566,355 000 zł,Mieszkanie 2 pok. na Starym Mieście,"ul. Kotlarska, Głogów, głogowski, dolnośląskie",40 m²,2,3/4,320 zł,Zapytaj,pełna własność,do zamieszkania,balkon,Zapytaj,gazowe,[],[]
